Max_Coverage_Total_Length_Unique	Max_Creativity_Total_Length_Unique	Max_LongestSubstringChar	Max_LongestSublistWord	num_proportion_from_end	min_ngram
0.73	0.75	0.73	0.72	0.9	1
0.74	0.74	0.73	0.72	0.9	2
0.75	0.75	0.73	0.72	0.9	3
0.74	0.74	0.73	0.72	0.9	4
0.74	0.74	0.73	0.72	0.9	5
0.72	0.77	0.75	0.78	0.75	1
0.75	0.78	0.75	0.78	0.75	2
0.77	0.77	0.75	0.78	0.75	3
0.76	0.76	0.75	0.78	0.75	4
0.73	0.73	0.75	0.78	0.75	5
0.69	0.78	0.76	0.78	0.5	1
0.76	0.80	0.76	0.78	0.5	2
0.78	0.79	0.76	0.78	0.5	3
0.78	0.78	0.76	0.78	0.5	4
0.75	0.75	0.76	0.78	0.5	5
0.61	0.73	0.74	0.74	0.25	1
0.67	0.73	0.74	0.74	0.25	2
0.76	0.78	0.74	0.74	0.25	3
0.76	0.76	0.74	0.74	0.25	4
0.74	0.74	0.74	0.74	0.25	5
0.58	0.64	0.68	0.65	0.1	1
0.60	0.64	0.68	0.65	0.1	2
0.65	0.67	0.68	0.65	0.1	3
0.66	0.66	0.68	0.65	0.1	4
0.64	0.64	0.68	0.65	0.1	5