Max_Coverage_Total_Length_Unique	Max_Creativity_Total_Length_Unique	Max_LongestSubstringChar	Max_LongestSublistWord	temperature	min_ngram
0.59	0.69	0.72	0.72	0.2	1
0.66	0.71	0.72	0.72	0.2	2
0.71	0.72	0.72	0.72	0.2	3
0.72	0.72	0.72	0.72	0.2	4
0.71	0.71	0.72	0.72	0.2	5
0.65	0.75	0.76	0.75	0.5	1
0.71	0.76	0.76	0.75	0.5	2
0.75	0.76	0.76	0.75	0.5	3
0.76	0.76	0.76	0.75	0.5	4
0.74	0.74	0.76	0.75	0.5	5
0.67	0.79	0.76	0.78	0.8	1
0.76	0.80	0.76	0.78	0.8	2
0.79	0.80	0.76	0.78	0.8	3
0.77	0.78	0.76	0.78	0.8	4
0.77	0.78	0.76	0.78	0.8	5
0.69	0.78	0.76	0.78	1	1
0.76	0.80	0.76	0.78	1	2
0.78	0.79	0.76	0.78	1	3
0.78	0.78	0.76	0.78	1	4
0.75	0.75	0.76	0.78	1	5
0.64	0.75	0.76	0.75	1.2	1
0.71	0.76	0.76	0.75	1.2	2
0.76	0.78	0.76	0.75	1.2	3
0.76	0.76	0.76	0.75	1.2	4
0.75	0.75	0.76	0.75	1.2	5
0.61	0.72	0.73	0.72	1.5	1
0.68	0.74	0.73	0.72	1.5	2
0.74	0.75	0.73	0.72	1.5	3
0.73	0.74	0.73	0.72	1.5	4
0.73	0.73	0.73	0.72	1.5	5
0.61	0.70	0.71	0.70	1.8	1
0.68	0.72	0.71	0.70	1.8	2
0.70	0.71	0.71	0.70	1.8	3
0.72	0.72	0.71	0.70	1.8	4
0.72	0.72	0.71	0.70	1.8	5